objname u g r i z J H K W1 W2 W3 W4 W3(AGN) W4(AGN) 
PG0003+158 1.9919996 2.5963380 2.3238933 2.6058769 3.1694539 2.0478032564000292 2.1355014565964607 2.5723519131809329 3.8932903224847752 5.7994966504223751 13.9541346755754745 25.1166719141128958 13.6193924 24.4139519
PG0003+199 4.5556917 6.3654828 9.6863956 8.3933649 11.0393887 14.3379889671912402 20.7921733202417478 38.6483003848959115 72.0305598412859496 98.6711754592039085 191.2066137155942727 281.5542534736282505 31674.0000000 8363.0000000
PG0007+106 0.9665259 1.3379513 1.7324409 3.5180969 3.0787537 4.5132379821709590 6.2791358469048841 12.8567261307520173 22.5692324865160785 29.2812964790777812 64.9086998594643205 127.1633887052444294 74.0033798 153.3767548
PG0026+129 2.3083811 2.8669217 2.6609440 4.7307510 4.6381536 5.8950600869855139 6.1023888632108561 9.5396049638205671 12.5636778003881950 16.9742385746650264 32.6815698948716715 43.8088741837189559 30.5581818 45.8348923
PG0043+039 1.2138675 1.3875568 1.6326506 1.7386377 2.2348564 1.8504963321390211 1.8702508945086933 2.4273387109577511 5.0993731186467777 7.4918711921668297 16.0214902626172133 25.3257370069023082 15.7825403 22.1419106
PG0049+171 2.1652706 2.3172572 2.2681158 3.8961489 2.8855805 1.8453902792614625 1.9984802999840046 3.0756037628117459 5.3841455321065137 7.2876969030749121 15.7580658205589099 18.0286037156859749 13.5948229 19.0218697
PG0050+124 2.6960797 5.1461821 7.7931046 7.0809760 12.1360006 16.6298465880211950 25.9836338765442036 48.1205299273982092 88.0474515505125339 129.2380218387662012 455.7250593537014538 849.4974756480322640 460.7687073 849.2442017
PG0052+251 2.0665362 2.0188022 2.1542592 3.5572085 2.6854455 4.4267830080484805 5.5042718883693826 8.4787218879209938 11.8663400670684371 16.7105329824588367 43.8836669298117599 75.1557291578900504 41.7127075 78.3498154
PG0157+001 1.5404677 1.9059105 2.2544169 2.8740571 2.7982810 3.7678033959685493 5.9579914909222786 10.4311067873239374 14.9526025711091020 20.8060818160284278 105.5608576736502187 422.2426443055916820 95.7706604 386.2977600
PG0804+761 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 10.2822519114060444 14.9657981904949526 28.6503807564038127 64.0201651656029611 87.3756263385269847 157.5806582055892875 196.2285038914926645 145.8564758 209.8495331
PG0838+770 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 1.5138687610163089 2.0262819307413773 3.6368918331478146 7.3844268076509207 9.4490968838405482 30.8676032973586345 68.0396534083485562 29.6779308 69.1266632
PG0844+349 4.4855986 5.2886906 5.8464432 8.3738880 7.7667227 6.9006219796430690 7.8831516350290967 10.4215038057993485 16.6079791232044904 21.3889912070300596 56.4290722597097556 94.8772509633649577 49.5612564 90.8645325
PG0921+525 1.1097938 2.1632235 3.0057080 4.0123744 4.8584895 4.5049319429416084 5.5808439389569626 8.3778077479958348 21.5931892086025208 29.4706898501047476 75.6315341894609077 98.3472210241956475 63.8931847 91.8712692
PG0923+201 2.3540385 2.1813798 2.1895671 2.9590354 2.3666618 2.8979322735194795 4.5154379307110464 8.7888163652882181 20.8121424718550188 25.7389189271102587 41.7544637241925756 50.8583296744921682 34.3713455 47.8138504
PG0923+129 1.8271303 5.1345472 8.7103977 11.5489035 14.3627005 11.4416389834530055 14.4910509821700533 20.0415079670305190 22.2595710078922728 29.0128439393463857 127.3804885330977754 229.2778458233769356 117.7824249 225.1845398
PG0934+013 1.0181695 1.4721557 1.9308423 2.6166542 3.0512917 1.5939996718477971 2.0620532288584807 2.6395529749810041 5.3004994068430342 7.2142352791473794 32.7418270532511855 70.7232309034215945 32.4347763 68.2353058
PG0947+396 1.1104119 1.0541005 1.0824286 1.5709184 1.2893990 1.9610480230152567 2.7108149590353632 5.2135121138205491 7.9052715043181294 12.6645657178378475 31.0386561783225368 49.7006527535551399 28.0960445 46.5667343
PG0953+414 3.6950922 3.8855820 3.8647549 4.5351152 3.9794166 3.3426294289466898 4.1409489477293313 6.4733693676645219 18.6173039952479336 23.8885781862334809 35.3755263298750506 44.6644605135698640 30.7334690 44.5413818
PG1001+054 0.8527278 0.9910159 1.0428191 1.3623645 1.1959691 1.5138687610163089 2.1572469918029622 3.8188305216517979 9.1099667159970164 12.9954194576657134 27.6887219520872883 36.2712140814696653 22.6673908 34.5360298
PG1004+130 2.3532178 2.6043108 2.6271255 3.0670514 3.0789058 3.3642497784950232 3.4922061688807378 4.8834909424468194 8.0745214066380004 11.8628844976495351 41.7544637241925756 75.2942987152756160 41.1447906 73.6284027
PG1011-040 -99.9000015 -99.9000015 -99.9000015 -99.9000015 -99.9000015 3.5033879570967015 4.3401014030438523 5.8013676338762918 10.4115835903689096 13.0433846531616364 52.4690148670385241 100.9164797419820729 50.3310432 100.2426682
PG1012+008 1.1240423 1.2333441 1.5275930 1.7433727 1.4341025 1.7174663158807952 2.2074957300881248 3.9041849690814825 7.8255845895055449 11.3394059147392827 32.2628634607663827 53.9960626619563726 31.6107349 54.0261841
