# sample-id:  pg --- Palomar-Green Quasars
#             altasXdr7qso --- AGN sample matched from ALTAS and Shen+11 SDSS DR7 Quasar catalog
#             altasXdr7sy1 --- AGN sample matched from ALTAS and Broad-line AGNs in the SDSS DR7 Main Galaxy Sample
#             cassisXdr7qso --- AGN sample matched from CASSIS and Shen+11 SDSS DR7 Quasar catalog
#             cassisXdr7sy1 --- AGN sample matched from CASSIS and Broad-line AGNs in the SDSS DR7 Main Galaxy Sample
#
# objname RA  Dec  sample-id
PG0003+158 1.4968235 16.1636162 pg
PG0003+199 1.5815917 20.2029381 pg
PG0007+106 2.6291912 10.9748631 pg
PG0026+129 7.3070917 13.2677460 pg
PG0043+039 11.4467878 4.1731563 pg
PG0049+171 12.9781561 17.4329014 pg
PG0050+124 13.3955488 12.6933861 pg
PG0052+251 13.7172117 25.4274845 pg
PG0157+001 29.9593925 0.3947228 pg
PG0804+761 122.7444534 76.0451355 pg
PG0838+770 131.1886444 76.8860016 pg
PG0844+349 131.9268799 34.7512131 pg
PG0921+525 141.3036346 52.2862473 pg
PG0923+201 141.4779968 19.9014168 pg
PG0923+129 141.5135193 12.7344751 pg
PG0934+013 144.2543793 1.0954808 pg
PG0947+396 147.7015991 39.4473724 pg
PG0953+414 149.2182922 41.2561607 pg
PG1001+054 151.0839233 5.2168040 pg
PG1004+130 151.8587494 12.8156137 pg
PG1011-040 153.5861664 -4.3112445 pg
PG1012+008 153.7287598 0.5604306 pg
PG1022+519 156.3803864 51.6763611 pg
PG1048+342 162.9328461 33.9907570 pg
PG1048-090 162.8746643 -9.3028326 pg
PG1049-005 162.9643402 -0.8549261 pg
PG1100+772 166.0578308 76.9828262 pg
PG1103-006 166.6324158 -0.8812220 pg
PG1114+445 169.2766418 44.2259140 pg
PG1115+407 169.6262512 40.4317017 pg
PG1116+215 169.7861176 21.3216553 pg
PG1119+120 170.4462891 11.7386866 pg
PG1121+422 171.1632233 42.0291786 pg
PG1126-041 172.3198090 -4.4018807 pg
PG1149-110 178.0147705 -11.3733921 pg
PG1151+117 178.4553375 11.4751673 pg
PG1202+281 181.1754608 27.9032497 pg
PG1211+143 183.5736084 14.0536537 pg
PG1216+069 184.8372192 6.6440210 pg
PG1226+023 187.2778931 2.0524063 pg
PG1229+204 188.0151062 20.1583118 pg
PG1244+026 191.6469116 2.3691170 pg
PG1259+593 195.3038177 59.0351906 pg
PG1302-102 196.3875580 -10.5553961 pg
PG1307+085 197.4458313 8.3300676 pg
PG1309+355 198.0739746 35.2558556 pg
PG1310-108 198.2741852 -11.1284609 pg
PG1322+659 200.9561920 65.6967239 pg
PG1341+258 205.9864502 25.6465244 pg
PG1351+236 208.5266571 23.4302273 pg
PG1351+640 208.3159637 63.7626915 pg
PG1352+183 208.6486816 18.0881939 pg
PG1354+213 209.1366730 21.0645275 pg
PG1402+261 211.3175812 25.9261513 pg
PG1404+226 211.5911713 22.3962822 pg
PG1411+442 213.4513702 44.0039139 pg
PG1415+451 214.2534485 44.9350967 pg
PG1416-129 214.7659149 -13.1790829 pg
PG1425+267 216.8983307 26.5374012 pg
PG1426+015 217.2773132 1.2851278 pg
PG1427+480 217.4294586 47.7906036 pg
PG1435-067 219.5673523 -6.9724069 pg
PG1440+356 220.5310669 35.4397430 pg
PG1444+407 221.6914215 40.5849533 pg
PG1448+273 222.7865601 27.1573753 pg
PG1501+106 226.0048828 10.4379025 pg
PG1512+370 228.6794586 36.8473206 pg
PG1519+226 230.3093567 22.4621773 pg
PG1534+580 233.9684143 57.9026413 pg
PG1535+547 234.1599579 54.5592346 pg
PG1543+489 236.3759918 48.7691650 pg
PG1545+210 236.9314117 20.8712807 pg
PG1552+085 238.6857147 8.3725948 pg
PG1612+261 243.5549774 26.0711670 pg
PG1613+658 243.4883575 65.7196274 pg
PG1617+175 245.0469971 17.4076672 pg
PG1626+554 246.9837494 55.3754425 pg
PG1700+518 255.3534241 51.8223343 pg
PG1704+608 256.1723633 60.7418137 pg
PG2112+059 318.7191162 6.1284251 pg
PG2130+099 323.1159058 10.1386881 pg
PG2209+184 332.9745483 18.6971836 pg
PG2214+139 334.3011475 14.2391472 pg
PG2233+134 339.0320129 13.7320356 pg
PG2251+113 343.5434265 11.6107626 pg
PG2304+042 346.7620850 4.5490999 pg
PG2308+098 347.8239746 10.1377106 pg
saga-1 136.1540070 55.6007996 saga
saga-2 151.6770020 41.3671989 saga
saga-6 201.0829926 5.6179700 saga
saga-16 51.3557014 -6.1438699 saga
saga-21 227.2250061 -0.1969560 saga
saga-22 220.6779938 1.3197500 saga
saga-23 260.6659851 30.8813000 saga
saga-25 158.5359955 60.0312996 saga
saga-46 248.7489929 20.8267002 saga
saga-52 190.1490021 -0.4887510 saga
saga-54 346.1809998 -8.6857300 saga
saga-58 223.3809967 13.8996000 saga
saga-59 254.9160004 18.5769005 saga
saga-61 249.2510071 22.3539009 saga
saga-65 181.1239929 20.3162994 saga
saga-67 46.0741005 0.4742440 saga
saga-71 226.4859924 3.7073100 saga
saga-72 32.0992012 -0.3335400 saga
saga-73 252.1670074 42.9299011 saga
saga-75 228.4309998 4.3621302 saga
saga-79 164.7640076 57.3653984 saga
saga-81 164.3899994 56.9604988 saga
saga-106 205.3890076 -0.4089150 saga
saga-118 226.0310059 -2.8046000 saga
saga-120 184.0000000 12.6872997 saga
saga-125 343.3810120 0.8070850 saga
saga-126 129.5460052 24.8952999 saga
saga-128 154.8020020 63.9674988 saga
saga-130 119.6169968 37.7865982 saga
saga-131 127.3030014 50.1146011 saga
saga-132 130.4080048 54.9185982 saga
saga-134 127.0800018 50.6922989 saga
saga-137 244.1970062 37.2725983 saga
saga-139 42.3036003 -8.2571402 saga
saga-142 33.6398010 -0.7667340 saga
saga-144 1.7650200 15.9066000 saga
saga-145 183.4409943 2.8108301 saga
saga-156 143.9649963 61.3532982 saga
saga-158 198.2740021 1.4655401 saga
saga-160 196.2920074 -3.5359199 saga
saga-161 198.2740021 -2.1775601 saga
saga-163 31.5666008 -0.2914520 saga
saga-165 9.2671003 -1.1523499 saga
saga-167 192.2500000 -1.1598400 saga
saga-168 197.1759949 2.3234601 saga
saga-170 167.7530060 -0.8930420 saga
saga-177 11.8308001 14.7034998 saga
saga-181 224.7559967 61.2316017 saga
saga-190 11.2861004 15.4282999 saga
saga-193 172.5890045 0.9730770 saga
saga-196 136.9109955 56.7328987 saga
saga-198 161.7949982 2.9970300 saga
saga-199 137.7559967 57.2131004 saga
saga-201 130.3959961 1.0323000 saga
saga-202 145.7920074 60.7664986 saga
saga-203 139.8049927 55.4654007 saga
saga-206 225.3049927 23.4855995 saga
saga-207 150.4559937 28.7858009 saga
saga-208 121.9209976 39.0042000 saga
saga-209 133.9759979 0.8530480 saga
saga-211 347.3340149 0.7564900 saga
saga-215 33.6958008 -0.5474050 saga
saga-216 222.3359985 42.3503990 saga
saga-217 315.9949951 -7.4673500 saga
saga-224 204.1000061 39.2919998 saga
saga-226 161.6459961 13.7509003 saga
saga-230 181.1799927 31.1772995 saga
saga-231 213.9869995 5.3415399 saga
saga-232 227.2680054 4.5782800 saga
saga-234 214.4980011 25.1368999 saga
saga-237 204.5659943 4.5426002 saga
saga-241 217.7239990 34.9767990 saga
saga-242 213.1439972 -0.5833430 saga
saga-245 242.7160034 48.9109001 saga
saga-247 140.2859955 45.6492996 saga
saga-249 258.8269958 57.6589012 saga
saga-260 229.1829987 57.7220993 saga
saga-270 234.2969971 58.2389984 saga
