# WISE W3 and W4 synthesis photometry flux from the Spitzer/IRS spectra
# objname     tag        f_{W3, tot}    f_{W4, tot}    f_{W3, AGN}   f_{W4, AGN}
PG0003+158      1      8.4163628      6.3368101      8.4163628      6.3368101
PG0003+199      0      0.0000000      0.0000000      0.0000000      0.0000000
PG0007+106      1      6.5786285      4.3415065      6.5786285      4.3415065
PG0026+129      1      7.5389385      5.6529145      7.5389385      5.6529145
PG0043+039      1      8.2563152      6.4428678      8.2563152      6.4428678
PG0049+171      1      8.4183235      6.6077719      8.4183235      6.6077719
PG0050+124      1      4.5528946      2.4288282      4.5930500      2.4833238
PG0052+251      1      7.2010860      5.0708103      7.2010860      5.0708103
PG0157+001      1      6.1442647      3.2547007      6.2986760      3.3385997
PG0804+761      1      5.8419433      4.0011353      5.8419433      4.0011353
PG0838+770      1      7.5706730      5.2067914      7.5706730      5.2067914
PG0844+349      1      7.0139017      4.9099193      7.0139017      4.9099193
PG0921+525      1      6.7381210      4.8979559      6.7381210      4.8979559
PG0923+201      1      7.4112659      5.6070209      7.4112659      5.6070209
PG0923+129      1      6.0740561      3.9245589      6.0740561      3.9245589
PG0934+013      1      7.3499007      5.0707712      7.4742298      5.2208824
PG0947+396      1      7.6301441      5.6357160      7.6301441      5.6357160
PG0953+414      1      7.5327282      5.6839962      7.5327282      5.6839962
PG1001+054      1      7.8632531      5.9602242      7.8632531      5.9602242
PG1004+130      1      7.2159700      5.1382918      7.2159700      5.1382918
PG1011-040      1      6.9971676      4.8032737      6.9971676      4.8032737
PG1012+008      1      7.5021706      5.4743948      7.5021706      5.4743948
PG1022+519      1      7.7374997      5.7374687      8.1348763      6.4444923
PG1048+342      1      8.3853130      6.2688479      8.3853130      6.2688479
PG1048-090      1      8.5945435      6.5108924      8.5945435      6.5108924
PG1049-005      1      7.0953422      4.8619223      7.0953422      4.8619223
PG1100+772      1      7.6845374      5.6825686      7.6845374      5.6825686
PG1103-006      1      8.1349869      6.0528865      8.1349869      6.0528865
PG1114+445      1      6.6590748      4.4937878      6.6590748      4.4937878
PG1115+407      1      7.8477955      5.7891464      7.8477955      5.7891464
PG1116+215      1      6.4840212      4.6610737      6.4840212      4.6610737
PG1119+120      1      6.1871753      3.9578400      6.2417922      4.0265183
PG1121+422      1      8.7323589      7.0217915      8.7323589      7.0217915
PG1126-041      1      6.0410881      3.8262246      6.0410881      3.8262246
PG1149-110      1      7.0418258      4.6598415      7.0418258      4.6598415
PG1151+117      1      7.9905624      6.1390162      7.9905624      6.1390162
PG1202+281      1      7.3942318      5.0699992      7.4925528      5.1625276
PG1211+143      1      5.7998981      3.7506928      5.8450255      3.8136735
PG1216+069      1      8.2399101      6.3904538      8.2399101      6.3904538
PG1226+023      1      4.8310795      2.7726884      4.8310795      2.7726884
PG1229+204      1      6.7423410      4.4295630      6.7423410      4.4295630
PG1244+026      1      7.1233544      4.8205175      7.2046118      4.9164810
PG1259+593      1      7.9919481      6.4868827      7.9919481      6.4868827
PG1302-102      1      7.1778874      4.8974428      7.1778874      4.8974428
PG1307+085      1      7.4341855      5.1312265      7.4341855      5.1312265
PG1309+355      1      6.9557548      4.6686354      6.9557548      4.6686354
PG1310-108      1      6.6199493      4.5505624      6.6763244      4.6369166
PG1322+659      1      7.7519264      5.7031655      7.8496413      5.8230400
PG1341+258      1      7.9478674      5.7557116      7.9478674      5.7557116
PG1351+236      1      7.6950188      5.5831413      8.5841169      7.1803656
PG1351+640      1      5.7302895      3.2510235      5.8410096      3.3519354
PG1352+183      1      7.7248273      6.0477004      7.7248273      6.0477004
PG1354+213      1      8.4504128      6.2083879      8.4504128      6.2083879
PG1402+261      1      6.7015290      4.7514710      6.7015290      4.7514710
PG1404+226      1      8.0563946      6.1826358      8.1693888      6.3646731
PG1411+442      1      6.3511119      4.5850830      6.3511119      4.5850830
PG1415+451      1      7.4440675      5.3785343      7.6171880      5.6026702
PG1416-129      1      8.3299017      6.2173448      8.3299017      6.2173448
PG1425+267      1      7.9562402      5.7637691      7.9562402      5.7637691
PG1426+015      1      6.2307649      4.1787205      6.2307649      4.1787205
PG1427+480      1      8.2593088      5.7872596      8.2593088      5.7872596
PG1435-067      1      7.6298442      5.8075476      7.6298442      5.8075476
PG1440+356      1      6.5131855      4.2609200      6.6780238      4.4534616
PG1444+407      1      7.4025984      5.3654327      7.4025984      5.3654327
PG1448+273      1      7.0051923      4.8527479      7.1074138      4.9880428
PG1501+106      1      5.5525508      3.1999922      5.5525508      3.1999922
PG1512+370      1      8.2648802      6.1212306      8.3329525      6.1887946
PG1519+226      1      7.2428861      5.3544669      7.2428861      5.3544669
PG1534+580      1      6.3759179      4.1895895      6.4351568      4.2718024
