# AGN sample with OIV measurements
#
#     irs_good -- 1 if the host-subtracted mid-IR spectrum is used to compute the average template
#
# objname  irs_good
PG0007+106      1
PG0026+129      1
PG0049+171      1
PG0050+124      1
PG0052+251      1
PG0157+001      1
PG0804+761      1
PG0838+770      1
PG0844+349      1
PG0921+525      1
PG0923+201      1
PG0923+129      1
PG0934+013      1
PG0947+396      1
PG0953+414      1
PG1001+054      1
PG1004+130      1
PG1011-040      1
PG1012+008      1
PG1022+519      1
PG1048+342      1
PG1048-090      1
PG1049-005      1
PG1100+772      1
PG1103-006      1
PG1114+445      1
PG1115+407      1
PG1116+215      1
PG1119+120      1
PG1121+422      1
PG1126-041      1
PG1149-110      1
PG1151+117      1
PG1202+281      1
PG1211+143      1
PG1216+069      1
PG1226+023      1
PG1229+204      1
PG1244+026      1
PG1302-102      1
PG1309+355      1
PG1310-108      1
PG1322+659      1
PG1341+258      1
PG1351+236      1
PG1351+640      1
PG1354+213      1
PG1402+261      1
PG1404+226      1
PG1411+442      1
PG1415+451      1
PG1416-129      1
PG1425+267      1
PG1426+015      1
PG1427+480      1
PG1440+356      1
PG1444+407      1
PG1448+273      1
PG1501+106      1
PG1512+370      1
PG1519+226      1
PG1534+580      1
PG1535+547      1
PG1543+489      1
PG1545+210      1
PG1552+085      1
PG1612+261      1
PG1613+658      1
PG1617+175      1
PG1700+518      1
PG1704+608      1
PG2130+099      1
PG2214+139      1
PG2233+134      1
PG2251+113      1
PG2304+042      1
saga-1      0
saga-2      1
saga-21      1
saga-22      1
saga-23      1
saga-25      1
saga-52      1
saga-54      1
saga-59      1
saga-61      1
saga-65      1
saga-67      1
saga-71      1
saga-72      1
saga-73      1
saga-75      0
saga-125      0
saga-126      1
saga-128      1
saga-130      1
saga-131      0
saga-132      1
saga-134      1
saga-137      0
saga-139      1
saga-142      1
saga-144      1
saga-158      0
saga-160      1
saga-161      1
saga-163      1
saga-167      1
saga-168      1
saga-177      1
saga-181      1
saga-190      1
saga-193      0
saga-196      0
saga-198      0
saga-199      1
saga-201      1
saga-203      1
saga-206      1
saga-207      1
saga-208      0
saga-209      0
saga-211      0
saga-216      1
saga-217      1
saga-224      1
saga-226      1
saga-230      1
saga-231      1
saga-232      1
saga-234      1
saga-237      1
saga-241      1
saga-242      1
saga-245      1
saga-247      0
saga-249      0
saga-260      1
saga-270      0
saga-325      0
saga-326      1
saga-330      1
saga-331      1
saga-332      1
saga-360      0
saga-365      1
saga-372      1
saga-373      1
saga-390      1
saga-411      1
saga-435      1
saga-452      1
saga-453      1
saga-458      1
saga-461      1
saga-466      0
saga-468      1
saga-470      0
saga-475      0
saga-481      1
saga-483      1
saga-485      1
saga-490      1
saga-493      0
saga-497      1
saga-500      0
saga-504      1
saga-505      1
saga-506      1
saga-516      0
saga-519      1
saga-520      0
saga-537      1
saga-540      1
saga-562      0
saga-573      1
saga-582      1
saga-583      1
saga-590      1
saga-592      0
altas-10      1
altas-14      1
altas-64      1
altas-598      1
cassis-26329600-0      0
cassis-17726464-0      0
cassis-4738816-0      1
cassis-15083008-0      1
cassis-26328576-0      1
cassis-26332672-0      1
cassis-24153344-3      1
cassis-15083520-0      1
cassis-17725952-0      1
cassis-15082496-0      1
cassis-24151040-0      1
cassis-24172288-0      1
cassis-15078912-0      1
cassis-4164352-0      1
cassis-4674304-0      0
cassis-24193536-1      0
cassis-17728000-0      1
cassis-17726720-0      1
cassis-17726976-0      0
cassis-17727488-0      0
cassis-17728256-0      1
cassis-17729536-0      1
cassis-24145408-0      1
cassis-17729024-0      1
cassis-26330368-0      1
